C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
  96:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@15)
  97:            66           2112  javax.management.ObjectName (java.management@15)
  98:            65           2080  javax.management.MBeanAttributeInfo (java.management@15)
  99:            64           2048  java.io.ObjectStreamClass$WeakClassKey (java.base@15)
 100:           128           2048  java.lang.Character (java.base@15)
 101:            36           2016  java.util.logging.Logger (java.logging@15)
 102:            36           2016  sun.util.calendar.ZoneInfo (java.base@15)
 103:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@15)
 104:            48           1920  java.lang.invoke.DirectMethodHandle$Constructor (java.base@15)
 105:            60           1920  java.lang.ref.ReferenceQueue (java.base@15)
 106:            60           1920  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@15)
 107:            79           1896  java.lang.StringBuilder (java.base@15)
 108:            78           1872  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@15)
 109:             8           1792  jdk.internal.org.objectweb.asm.MethodWriter (java.base@15)
 110:            72           1728  java.lang.module.ModuleDescriptor$Provides (java.base@15)
 111:            36           1728  javax.management.Notification (java.management@15)
 112:            72           1728  javax.management.openmbean.TabularDataSupport (java.management@15)
 113:            53           1696  java.security.spec.EllipticCurve (java.base@15)
 114:            53           1696  sun.security.util.ObjectIdentifier (java.base@15)
 115:            70           1680  jdk.internal.module.SystemModuleFinders$2 (java.base@15)
 116:            41           1640  java.lang.NoSuchMethodException (java.base@15)
 117:             2           1584  [[B (java.base@15)
 118:            98           1568  [Ljava.security.Principal; (java.base@15)
 119:            98           1568  java.security.ProtectionDomain$Key (java.base@15)
 120:            32           1536  java.lang.management.MemoryUsage (java.management@15)
 121:            38           1520  javax.management.MBeanOperationInfo (java.management@15)
 122:            63           1512  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@15)
 123:            37           1480  java.util.logging.Logger$ConfigurationData (java.logging@15)
 124:            61           1464  java.lang.module.ResolvedModule (java.base@15)
 125:            61           1464  java.util.Arrays$ArrayItr (java.base@15)
 126:            61           1464  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@15)
 127:            23           1456  [Ljava.lang.reflect.Method; (java.base@15)
 128:            45           1440  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@15)
 129:            30           1440  java.time.temporal.ValueRange (java.base@15)
 130:            30           1440  java.util.WeakHashMap (java.base@15)
 131:            35           1400  java.io.ObjectStreamClass$FieldReflectorKey (java.base@15)
 132:            42           1344  javax.management.MBeanParameterInfo (java.management@15)
 133:            45           1336  [Ljavax.management.MBeanOperationInfo; (java.management@15)
 134:            41           1312  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@15)
 135:            54           1296  java.security.spec.ECPoint (java.base@15)
 136:            79           1264  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@15)
 137:            78           1248  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@15)
 138:            31           1240  java.security.AccessControlContext (java.base@15)
 139:            30           1200  java.lang.invoke.DirectMethodHandle$Accessor (java.base@15)
 140:            30           1200  java.time.temporal.ChronoField (java.base@15)
 141:            38           1184  [Ljava.math.BigInteger; (java.base@15)
