C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
 397:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping (java.management@15)
 398:             4            128  com.sun.management.internal.GcInfoCompositeData (jdk.management@15)
 399:             4            128  java.io.File (java.base@15)
 400:             4            128  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@15)
 401:             4            128  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@15)
 402:             2            128  java.net.SocksSocketImpl (java.base@15)
 403:             2            128  java.security.SecureRandom (java.base@15)
 404:             4            128  java.util.Vector (java.base@15)
 405:             4            128  java.util.concurrent.SynchronousQueue$TransferStack$SNode (java.base@15)
 406:             4            128  java.util.stream.FindOps$FindOp (java.base@15)
 407:             1            128  org.postgresql.jdbc.PgConnection
 408:             2            128  org.postgresql.util.LruCache$LimitedMap
 409:             8            128  sun.nio.ch.NioSocketImpl$$Lambda$19/0x0000000800b5fc30 (java.base@15)
 410:             4            128  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@15)
 411:             4            128  sun.reflect.generics.repository.ClassRepository (java.base@15)
 412:             2            128  sun.security.provider.SHA2$SHA256 (java.base@15)
 413:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@15)
 414:             3            120  java.io.BufferedInputStream (java.base@15)
 415:             5            120  java.io.ObjectStreamClass$2 (java.base@15)
 416:             3            120  java.io.ObjectStreamClass$FieldReflector (java.base@15)
 417:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@15)
 418:             3            120  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@15)
 419:             5            120  java.time.LocalDateTime (java.base@15)
 420:             5            120  java.util.stream.StreamOpFlag$Type (java.base@15)
 421:             5            120  jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer (java.base@15)
 422:             5            120  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@15)
 423:             5            120  sun.nio.fs.WindowsPathType (java.base@15)
 424:             3            120  sun.rmi.transport.WeakRef (java.rmi@15)
 425:             1            112  [Ljava.time.LocalTime; (java.base@15)
 426:             2            112  [Ljavax.management.openmbean.OpenType; (java.management@15)
 427:             2            112  com.sun.management.GcInfo (jdk.management@15)
 428:             2            112  java.net.SocketPermission (java.base@15)
 429:             2            112  java.nio.DirectIntBufferRU (java.base@15)
 430:             1            112  java.util.GregorianCalendar (java.base@15)
 431:             7            112  java.util.IdentityHashMap$KeySet (java.base@15)
 432:             1            112  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@15)
 433:             7            112  jdk.internal.reflect.BootstrapConstructorAccessorImpl (java.base@15)
 434:             7            112  sun.nio.ch.NioSocketImpl$1 (java.base@15)
 435:             2            112  sun.rmi.transport.tcp.TCPConnection (java.rmi@15)
 436:             2            112  sun.security.jgss.SunProvider$ProviderService (java.security.jgss@15)
 437:             2            104  [Lsun.util.logging.PlatformLogger$Level; (java.base@15)
 438:             1            104  com.sun.crypto.provider.SunJCE (java.base@15)
 439:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@15)
 440:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@15)
 441:             1            104  org.jcp.xml.dsig.internal.dom.XMLDSigRI (java.xml.crypto@15)
 442:             1            104  sun.security.ec.SunEC (jdk.crypto.ec@15)
 443:             1            104  sun.security.jca.ProviderList$1 (java.base@15)
 444:             1            104  sun.security.jgss.SunProvider (java.security.jgss@15)
 445:             1            104  sun.security.mscapi.SunMSCAPI (jdk.crypto.mscapi@15)
 446:             1            104  sun.security.provider.Sun (java.base@15)
 447:             1            104  sun.security.rsa.SunRsaSign (java.base@15)
 448:             1            104  sun.security.ssl.SunJSSE (java.base@15)
 449:             2             96  [Ljava.lang.System$Logger$Level; (java.base@15)
 450:             2             96  [Lorg.postgresql.core.Parser$SqlParseState;
 451:             4             96  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@15)
 452:             1             96  [Lsun.util.locale.BaseLocale; (java.base@15)
 453:             3             96  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$EnumMapping (java.management@15)
 454:             4             96  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData (jdk.management@15)
 455:             2             96  com.sun.management.internal.GarbageCollectorExtImpl (jdk.management@15)
 456:             2             96  com.sun.management.internal.GcInfoBuilder (jdk.management@15)
 457:             4             96  java.io.OutputStreamWriter (java.base@15)
 458:             3             96  java.io.RandomAccessFile (java.base@15)
 459:             3             96  java.lang.Runtime$Version (java.base@15)
 460:             4             96  java.lang.invoke.InvokerBytecodeGenerator$ClassData (java.base@15)
 461:             6             96  java.lang.invoke.LambdaFormEditor (java.base@15)
 462:             4             96  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@15)
 463:             3             96  java.lang.invoke.SimpleMethodHandle (java.base@15)
 464:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@15)
 465:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@15)
 466:             3             96  java.net.Inet6Address$Inet6AddressHolder (java.base@15)
 467:             4             96  java.rmi.server.ObjID (java.rmi@15)
 468:             4             96  java.security.BasicPermissionCollection (java.base@15)
 469:             3             96  java.security.MessageDigest$Delegate$CloneableDelegate (java.base@15)
 470:             4             96  java.sql.SQLPermission (java.sql@15)
 471:             4             96  java.text.Normalizer$Form (java.base@15)
 472:             4             96  java.time.LocalDate (java.base@15)
 473:             4             96  java.time.OffsetDateTime (java.base@15)
 474:             4             96  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1 (java.base@15)
 475:             4             96  java.util.ImmutableCollections$SetN$SetNIterator (java.base@15)
 476:             4             96  java.util.regex.Pattern$CharPropertyGreedy (java.base@15)
 477:             4             96  java.util.regex.Pattern$Qtype (java.base@15)
 478:             4             96  java.util.regex.Pattern$Start (java.base@15)
 479:             4             96  java.util.stream.StreamShape (java.base@15)
 480:             3             96  java.util.zip.ZipFile$CleanableResource (java.base@15)
 481:             3             96  javax.management.MBeanConstructorInfo (java.management@15)
 482:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@15)
 483:             4             96  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@15)
 484:             6             96  jdk.internal.loader.ClassLoaderValue (java.base@15)
 485:             4             96  jdk.internal.logger.BootstrapLogger$LoggingBackend (java.base@15)
 486:             3             96  jdk.internal.reflect.MethodAccessorGenerator$1 (java.base@15)
 487:             3             96  jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl (java.base@15)
 488:             4             96  org.postgresql.core.JavaVersion
 489:             4             96  org.postgresql.hostchooser.HostStatus
 490:             4             96  org.postgresql.jdbc.GSSEncMode
 491:             4             96  org.postgresql.jdbc.PreferQueryMode
 492:             4             96  org.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2Attributes
 493:             2             96  org.postgresql.util.LruCache
 494:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo (java.base@15)
 495:             6             96  sun.nio.ch.NioSocketImpl$2 (java.base@15)
 496:             2             96  sun.nio.cs.StreamDecoder (java.base@15)
 497:             4             96  sun.reflect.generics.tree.ClassSignature (java.base@15)
 498:             4             96  sun.reflect.generics.tree.FormalTypeParameter (java.base@15)
 499:             3             96  sun.rmi.transport.LiveRef (java.rmi@15)
 500:             2             96  sun.rmi.transport.tcp.TCPChannel (java.rmi@15)
 501:             2             96  sun.security.provider.MoreDrbgParameters (java.base@15)
 502:             1             96  sun.util.calendar.Gregorian$Date (java.base@15)
 503:             3             88  [Ljava.rmi.server.Operation; (java.rmi@15)
 504:             2             88  [Lsun.security.jca.ProviderConfig; (java.base@15)
 505:             1             88  com.sun.jmx.remote.util.ClassLoaderWithRepository (java.management@15)
 506:             1             88  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader (java.management.rmi@15)
 507:             1             88  org.postgresql.core.PGStream
 508:             1             88  sun.reflect.misc.MethodUtil (java.base@15)
 509:             2             80  [F (java.base@15)
 510:             1             80  [Ljava.time.temporal.ChronoUnit; (java.base@15)
 511:             1             80  [Ljava.util.concurrent.RunnableScheduledFuture; (java.base@15)
 512:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@15)
 513:             2             80  [Lorg.postgresql.hostchooser.HostRequirement;
 514:             2             80  [Lorg.postgresql.jdbc.SslMode;
 515:             2             80  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$TabularMapping (java.management@15)
 516:             2             80  java.io.BufferedWriter (java.base@15)
 517:             2             80  java.io.ObjectOutputStream$HandleTable (java.base@15)
 518:             2             80  java.io.PrintStream (java.base@15)
 519:             2             80  java.lang.ModuleLayer (java.base@15)
 520:             2             80  java.lang.NoSuchFieldException (java.base@15)
 521:             2             80  java.lang.VirtualMachineError (java.base@15)
 522:             2             80  java.lang.WeakPairMap$Pair$Weak (java.base@15)
 523:             2             80  java.lang.module.Configuration (java.base@15)
 524:             2             80  java.util.Locale$Category (java.base@15)
 525:             1             80  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper (java.management.rmi@15)
 526:             1             80  jdk.internal.icu.impl.NormalizerImpl (java.base@15)
 527:             2             80  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@15)
 528:             1             80  org.postgresql.jdbc.TypeInfoCache
 529:             2             80  sun.management.MemoryManagerImpl (java.management@15)
 530:             2             80  sun.nio.cs.UTF_8$Decoder (java.base@15)
 531:             2             80  sun.rmi.server.UnicastServerRef2 (java.rmi@15)
 532:             2             80  sun.rmi.transport.StreamRemoteCall (java.rmi@15)
 533:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@15)
 534:             1             80  sun.util.locale.provider.JRELocaleProviderAdapter (java.base@15)
 535:             3             72  [Ljava.lang.reflect.TypeVariable; (java.base@15)
 536:             1             72  [Ljavax.management.openmbean.SimpleType; (java.management@15)
 537:             1             72  [Lorg.postgresql.core.ServerVersion;
 538:             3             72  java.io.ObjectInputFilter$Status (java.base@15)
 539:             3             72  java.lang.Class$1 (java.base@15)
 540:             3             72  java.lang.StackWalker$Option (java.base@15)
 541:             3             72  java.lang.WeakPairMap (java.base@15)
 542:             3             72  java.lang.annotation.RetentionPolicy (java.base@15)
 543:             3             72  java.net.Inet6Address (java.base@15)
 544:             3             72  java.net.Proxy$Type (java.base@15)
 545:             3             72  java.nio.file.AccessMode (java.base@15)
 546:             3             72  java.security.DrbgParameters$Capability (java.base@15)
 547:             3             72  java.security.SecurityPermission (java.base@15)
 548:             3             72  java.time.ZoneOffset (java.base@15)
 549:             1             72  java.util.concurrent.ScheduledThreadPoolExecutor (java.base@15)
 550:             1             72  java.util.concurrent.ThreadPoolExecutor (java.base@15)
 551:             3             72  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@15)
 552:             1             72  java.util.regex.Matcher (java.base@15)
 553:             3             72  java.util.stream.Collector$Characteristics (java.base@15)
 554:             3             72  java.util.zip.Inflater$InflaterZStreamRef (java.base@15)
 555:             3             72  java.util.zip.ZipFile$Source$Key (java.base@15)
 556:             3             72  javax.management.NotificationBroadcasterSupport$ListenerInfo (java.management@15)
 557:             3             72  jdk.internal.icu.util.CodePointTrie$ValueWidth (java.base@15)
 558:             3             72  jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer (java.base@15)
 559:             3             72  jdk.internal.module.IllegalAccessLogger$Mode (java.base@15)
 560:             3             72  jdk.jfr.internal.SecuritySupport$SafePath (jdk.jfr@15)
 561:             3             72  org.postgresql.core.TransactionState
 562:             3             72  org.postgresql.jdbc.AutoSave
 563:             3             72  org.postgresql.jdbc.EscapeSyntaxCallMode
 564:             3             72  org.postgresql.jdbc.PgConnection$ReadOnlyBehavior
 565:             3             72  org.postgresql.shaded.com.ongres.scram.client.ScramClient$ChannelBinding
 566:             3             72  org.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2CbindFlag
 567:             3             72  sun.management.ManagementFactoryHelper$1 (java.management@15)
 568:             3             72  sun.reflect.annotation.AnnotationInvocationHandler (java.base@15)
 569:             3             72  sun.reflect.generics.scope.ClassScope (java.base@15)
 570:             1             72  sun.rmi.transport.ConnectionInputStream (java.rmi@15)
 571:             2             64  [Ljava.io.ObjectStreamClass$ClassDataSlot; (java.base@15)
 572:             4             64  [Ljava.lang.StackTraceElement; (java.base@15)
 573:             2             64  [Ljava.lang.StackWalker$Option; (java.base@15)
 574:             2             64  [Ljava.lang.annotation.RetentionPolicy; (java.base@15)
 575:             2             64  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@15)
 576:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@15)
 577:             2             64  [Ljava.nio.charset.CoderResult; (java.base@15)
 578:             2             64  [Ljava.util.stream.Collector$Characteristics; (java.base@15)
 579:             1             64  [Ljdk.jfr.internal.LogTag; (jdk.jfr@15)
 580:             2             64  [Lorg.postgresql.jdbc.AutoSave;
 581:             2             64  [Lorg.postgresql.jdbc.GSSEncMode;
 582:             2             64  [Lorg.postgresql.jdbc.PgConnection$ReadOnlyBehavior;
 583:             4             64  com.sun.jmx.mbeanserver.GetPropertyAction (java.management@15)
 584:             1             64  com.sun.jmx.remote.internal.ArrayNotificationBuffer (java.management@15)
 585:             2             64  com.sun.management.GarbageCollectionNotificationInfo (jdk.management@15)
 586:             2             64  java.io.FileOutputStream (java.base@15)
 587:             2             64  java.lang.ClassValue$Entry (java.base@15)
 588:             2             64  java.lang.StackWalker (java.base@15)
 589:             2             64  java.lang.WeakPairMap$Pair$Weak$1 (java.base@15)
 590:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@15)
 591:             4             64  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet (java.base@15)
 592:             4             64  java.util.LinkedHashMap$LinkedValues (java.base@15)
 593:             2             64  java.util.LinkedList (java.base@15)
 594:             2             64  java.util.PropertyPermission (java.base@15)
 595:             4             64  java.util.WeakHashMap$KeySet (java.base@15)
 596:             4             64  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@15)
 597:             4             64  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@15)
 598:             1             64  java.util.logging.LogManager$RootLogger (java.logging@15)
 599:             2             64  java.util.regex.Pattern$Branch (java.base@15)
 600:             1             64  javax.management.remote.rmi.RMIConnectionImpl (java.management.rmi@15)
 601:             1             64  javax.management.remote.rmi.RMIConnectorServer (java.management.rmi@15)
 602:             1             64  javax.management.remote.rmi.RMIJRMPServerImpl (java.management.rmi@15)
 603:             2             64  jdk.internal.reflect.UnsafeQualifiedObjectFieldAccessorImpl (java.base@15)
 604:             2             64  org.postgresql.core.CachedQuery
 605:             2             64  sun.nio.fs.NativeBuffer (java.base@15)
 606:             2             64  sun.reflect.annotation.AnnotationType (java.base@15)
 607:             1             64  sun.rmi.transport.ConnectionOutputStream (java.rmi@15)
 608:             2             64  sun.rmi.transport.tcp.TCPTransport (java.rmi@15)
 609:             1             56  [Ljava.io.ObjectInputStream$HandleTable$HandleList; (java.base@15)
 610:             1             56  [Ljava.lang.Runnable; (java.base@15)
 611:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@15)
 612:             1             56  [Lorg.postgresql.shaded.com.ongres.scram.common.ScramAttributes;
 613:             1             56  [[I (java.base@15)
 614:             1             56  com.sun.jmx.remote.internal.ServerNotifForwarder (java.management@15)
 615:             1             56  java.io.ObjectInputFilter$Config$Global (java.base@15)
 616:             1             56  java.io.ObjectInputStream$BlockDataInputStream (java.base@15)
 617:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@15)
 618:             1             56  java.util.ServiceLoader (java.base@15)
 619:             1             56  java.util.logging.LogManager (java.logging@15)
 620:             1             56  jdk.internal.ref.CleanerImpl$SoftCleanableRef (java.base@15)
 621:             1             56  sun.security.provider.SHA (java.base@15)
 622:             3             48  [Ljava.io.ObjectStreamClass$MemberSignature; (java.base@15)
 623:             3             48  [Ljava.lang.annotation.Annotation; (java.base@15)
 624:             1             48  [Ljava.lang.management.MemoryPoolMXBean; (java.management@15)
 625:             1             48  [Ljava.math.RoundingMode; (java.base@15)
 626:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@15)
 627:             2             48  [Ljava.util.regex.Pattern$Node; (java.base@15)
 628:             1             48  [Lorg.postgresql.core.SqlCommandType;
 629:             1             48  [Lru.job4j.tracker.UserAction;
 630:             1             48  [Lsun.management.counter.Units; (java.management@15)
 631:             2             48  com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry (java.management@15)
 632:             1             48  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings (java.management@15)
 633:             1             48  com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap (java.management@15)
 634:             1             48  com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap (java.management@15)
 635:             2             48  com.sun.jmx.mbeanserver.WeakIdentityHashMap (java.management@15)
 636:             3             48  com.sun.proxy.$Proxy1
 637:             1             48  java.io.BufferedReader (java.base@15)
 638:             2             48  java.io.File$PathStatus (java.base@15)
 639:             2             48  java.io.InputStreamReader (java.base@15)
 640:             1             48  java.lang.NullPointerException (java.base@15)
 641:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@15)
 642:             2             48  java.lang.invoke.MethodHandles$Lookup$ClassOption (java.base@15)
 643:             2             48  java.lang.management.MemoryType (java.management@15)
 644:             2             48  java.lang.reflect.ReflectPermission (java.base@15)
 645:             2             48  java.net.StandardProtocolFamily (java.base@15)
 646:             3             48  java.nio.charset.CodingErrorAction (java.base@15)
 647:             2             48  java.rmi.dgc.VMID (java.rmi@15)
 648:             2             48  java.time.chrono.IsoEra (java.base@15)
 649:             2             48  java.util.LinkedList$Node (java.base@15)
 650:             3             48  java.util.Optional (java.base@15)
 651:             3             48  java.util.ResourceBundle$NoFallbackControl (java.base@15)
 652:             2             48  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@15)
 653:             1             48  java.util.concurrent.ConcurrentSkipListMap (java.base@15)
 654:             2             48  java.util.concurrent.ConcurrentSkipListMap$Index (java.base@15)
 655:             2             48  java.util.concurrent.ConcurrentSkipListMap$Node (java.base@15)
 656:             1             48  java.util.concurrent.locks.ReentrantReadWriteLock$FairSync (java.base@15)
 657:             2             48  java.util.logging.Logger$LoggerBundle (java.logging@15)
 658:             2             48  java.util.logging.LoggingPermission (java.logging@15)
 659:             2             48  java.util.regex.Pattern$BmpCharPredicate$$Lambda$75/0x0000000800babb98 (java.base@15)
 660:             2             48  javax.management.NotificationBroadcasterSupport (java.management@15)
 661:             1             48  javax.management.remote.rmi.RMIConnectionImpl$RMIServerCommunicatorAdmin (java.management.rmi@15)
 662:             1             48  jdk.internal.icu.util.CodePointTrie$Fast16 (java.base@15)
 663:             2             48  jdk.internal.icu.util.CodePointTrie$Type (java.base@15)
 664:             1             48  jdk.internal.jimage.ImageHeader (java.base@15)
 665:             2             48  jdk.internal.misc.Signal (java.base@15)
 666:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@15)
 667:             3             48  jdk.internal.module.ServicesCatalog (java.base@15)
 668:             1             48  jdk.internal.ref.CleanerImpl$WeakCleanableRef (java.base@15)
 669:             3             48  jdk.internal.reflect.ClassDefiner$1 (java.base@15)
 670:             3             48  jdk.internal.reflect.Label (java.base@15)
 671:             1             48  jdk.management.jfr.FlightRecorderMXBeanImpl (jdk.management.jfr@15)
 672:             1             48  org.postgresql.jdbc.TimestampUtils
 673:             2             48  sun.nio.fs.NativeBuffer$Deallocator (java.base@15)
 674:             1             48  sun.rmi.runtime.Log$InternalStreamHandler (java.rmi@15)
 675:             2             48  sun.rmi.transport.ObjectEndpoint (java.rmi@15)
 676:             2             48  sun.security.jca.ProviderList (java.base@15)
 677:             2             48  sun.security.jca.ProviderList$3 (java.base@15)
 678:             2             48  sun.security.provider.DRBG (java.base@15)
 679:             2             48  sun.util.locale.provider.LocaleServiceProviderPool (java.base@15)
 680:             2             40  [Lcom.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry; (java.management@15)
 681:             1             40  [Ljava.lang.Thread$State; (java.base@15)
 682:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@15)
 683:             2             40  [Ljava.net.URL; (java.base@15)
 684:             1             40  [Ljava.util.stream.StreamOpFlag; (java.base@15)
 685:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@15)
 686:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type; (java.base@15)
 687:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@15)
 688:             1             40  com.sun.jmx.interceptor.DefaultMBeanServerInterceptor (java.management@15)
 689:             1             40  com.sun.jmx.mbeanserver.JmxMBeanServer (java.management@15)
 690:             1             40  com.sun.jmx.mbeanserver.MBeanServerDelegateImpl (java.management@15)
 691:             1             40  com.sun.management.internal.DiagnosticCommandImpl (jdk.management@15)
 692:             1             40  java.io.FilePermission (java.base@15)
 693:             1             40  java.io.IOException (java.base@15)
 694:             1             40  java.io.ObjectOutputStream$BlockDataOutputStream (java.base@15)
 695:             1             40  java.lang.ArithmeticException (java.base@15)
 696:             1             40  java.lang.Exception (java.base@15)
 697:             1             40  java.lang.NoSuchMethodError (java.base@15)
 698:             1             40  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@15)
 699:             1             40  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@15)
 700:             1             40  java.lang.ref.Finalizer (java.base@15)
 701:             1             40  java.net.InetAddress$CachedAddresses (java.base@15)
 702:             1             40  java.rmi.NoSuchObjectException (java.rmi@15)
 703:             1             40  java.util.ResourceBundle$2 (java.base@15)
 704:             1             40  java.util.ServiceLoader$LazyClassPathLookupIterator (java.base@15)
 705:             1             40  javax.crypto.CryptoAllPermission (java.base@15)
 706:             1             40  javax.management.remote.rmi.RMIConnectionImpl$4 (java.management.rmi@15)
 707:             1             40  jdk.internal.loader.URLClassPath (java.base@15)
 708:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@15)
 709:             1             40  org.postgresql.core.v3.SimpleParameterList
 710:             1             40  sun.management.MappedMXBeanType$CompositeDataMXBeanType (java.management@15)
 711:             1             40  sun.management.MappedMXBeanType$MapMXBeanType (java.management@15)
 712:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@15)
 713:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@15)
 714:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@15)
 715:             1             40  sun.nio.cs.US_ASCII$Decoder (java.base@15)
 716:             1             40  sun.rmi.server.UnicastServerRef (java.rmi@15)
 717:             1             40  sun.util.locale.InternalLocaleBuilder (java.base@15)
 718:             1             40  sun.util.resources.Bundles$1 (java.base@15)
 719:             1             32  [Ljava.io.ObjectInputFilter$Status; (java.base@15)
 720:             1             32  [Ljava.lang.OutOfMemoryError; (java.base@15)
 721:             1             32  [Ljava.lang.ThreadGroup; (java.base@15)
 722:             1             32  [Ljava.lang.management.MemoryManagerMXBean; (java.management@15)
 723:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@15)
 724:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@15)
 725:             1             32  [Ljava.net.Proxy$Type; (java.base@15)
 726:             1             32  [Ljava.nio.file.AccessMode; (java.base@15)
 727:             1             32  [Ljava.security.DrbgParameters$Capability; (java.base@15)
 728:             1             32  [Ljava.text.Normalizer$Form; (java.base@15)
 729:             1             32  [Ljava.util.regex.Pattern$Qtype; (java.base@15)
 730:             1             32  [Ljava.util.stream.StreamShape; (java.base@15)
 731:             1             32  [Ljdk.internal.icu.util.CodePointTrie$ValueWidth; (java.base@15)
 732:             1             32  [Ljdk.internal.logger.BootstrapLogger$LoggingBackend; (java.base@15)
 733:             1             32  [Ljdk.internal.module.IllegalAccessLogger$Mode; (java.base@15)
 734:             1             32  [Lorg.postgresql.core.JavaVersion;
 735:             1             32  [Lorg.postgresql.core.TransactionState;
 736:             1             32  [Lorg.postgresql.hostchooser.HostStatus;
 737:             1             32  [Lorg.postgresql.jdbc.EscapeSyntaxCallMode;
 738:             1             32  [Lorg.postgresql.jdbc.PreferQueryMode;
 739:             1             32  [Lorg.postgresql.shaded.com.ongres.scram.client.ScramClient$ChannelBinding;
 740:             1             32  [Lorg.postgresql.shaded.com.ongres.scram.common.ScramMechanisms;
 741:             1             32  [Lorg.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2Attributes;
 742:             1             32  [Lorg.postgresql.shaded.com.ongres.scram.common.gssapi.Gs2CbindFlag;
 743:             1             32  [Lsun.nio.fs.NativeBuffer; (java.base@15)
 744:             1             32  com.sun.jmx.mbeanserver.Repository (java.management@15)
 745:             1             32  com.sun.jmx.remote.internal.ArrayQueue (java.management@15)
 746:             2             32  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData$1 (jdk.management@15)
 747:             2             32  com.sun.management.internal.GcInfoCompositeData$1 (jdk.management@15)
 748:             2             32  com.sun.management.internal.GcInfoCompositeData$2 (jdk.management@15)
 749:             1             32  java.io.FileInputStream (java.base@15)
 750:             1             32  java.io.ObjectInputStream$HandleTable (java.base@15)
 751:             1             32  java.io.ObjectInputStream$PeekInputStream (java.base@15)
 752:             1             32  java.io.WinNTFileSystem (java.base@15)
 753:             2             32  java.lang.Boolean (java.base@15)
 754:             2             32  java.lang.InheritableThreadLocal (java.base@15)
 755:             2             32  java.lang.Shutdown$Lock (java.base@15)
 756:             1             32  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@15)
 757:             1             32  java.lang.invoke.VarHandleLongs$FieldInstanceReadWrite (java.base@15)
 758:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@15)
 759:             1             32  java.net.InetAddress$CachedLocalHost (java.base@15)
 760:             2             32  java.nio.ByteOrder (java.base@15)
 761:             2             32  java.security.AllPermissionCollection (java.base@15)
 762:             2             32  java.util.LinkedHashSet (java.base@15)
 763:             2             32  java.util.ResourceBundle$SingleFormatControl (java.base@15)
 764:             1             32  java.util.ServiceLoader$ModuleServicesLookupIterator (java.base@15)
 765:             2             32  java.util.TreeSet (java.base@15)
 766:             1             32  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue (java.base@15)
 767:             1             32  java.util.concurrent.SynchronousQueue (java.base@15)
 768:             1             32  java.util.concurrent.ThreadLocalRandom (java.base@15)
 769:             1             32  java.util.concurrent.atomic.LongAdder (java.base@15)
 770:             1             32  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@15)
 771:             1             32  java.util.logging.LogManager$SystemLoggerContext (java.logging@15)
 772:             2             32  java.util.regex.Pattern$$Lambda$70/0x0000000800b9f598 (java.base@15)
 773:             2             32  java.util.regex.Pattern$BranchConn (java.base@15)
 774:             1             32  java.util.zip.ZipCoder$UTF8ZipCoder (java.base@15)
 775:             1             32  javax.management.remote.JMXServiceURL (java.management@15)
 776:             1             32  jdk.internal.module.IllegalAccessLogger (java.base@15)
 777:             2             32  jdk.internal.module.ModuleResolution (java.base@15)
 778:             1             32  jdk.internal.ref.CleanerImpl (java.base@15)
 779:             1             32  jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl (java.base@15)
 780:             1             32  jdk.management.jfr.FlightRecorderMXBeanImpl$MXBeanListener (jdk.management.jfr@15)
 781:             1             32  jdk.net.ExtendedSocketOptions$1 (jdk.net@15)
 782:             1             32  org.postgresql.core.ByteOptimizedUTF8Encoder
